"type","profileName","profileImage","userId","socialData","id","createdAt","updatedAt"
"ENS","leal.eth","https://ipfs.io/ipfs/QmeaZbqMznxsST8RyJwyKd8igbZmHcYpno5fatK6ervaqo",2,NULL,1,"2023-11-14 09:58:40.487","2023-11-14 09:58:40.487"
"TALENT_PROTOCOL","leal","https://talentprotocol-mvp.s3.eu-west-2.amazonaws.com/63a634bf10eaab4ea4cb8d4057919d3b.jpg",2,NULL,2,"2023-11-14 09:58:40.894","2023-11-14 09:58:40.894"
"LENS","fleal","https://cloudflare-ipfs.com/ipfs/QmR8fJ41J75n15C3HBF453iA25kpNhVAFTQvkAdQSLFRLn",2,NULL,3,"2023-11-14 09:58:41.34","2023-11-14 09:58:41.34"
"ENS","macedo.eth","https://ipfs.io/ipfs/QmSvuQRkMjL7p2C7VVwbvUfyakPDqAdfe4dv3RkAe5Xr8s/0.5.1_1.8.2_2.7.1_3.2.3.5_4.2.1_5.4.4_6.1.1.jpg",3,NULL,4,"2023-11-14 10:43:11.479","2023-12-06 10:05:32.909"
"TALENT_PROTOCOL","filmacedo","https://talentprotocol-mvp.s3.eu-west-2.amazonaws.com/8e71868c4c70d0f45bdbf3e9735e10ba.jpg",3,NULL,5,"2023-11-14 10:43:11.87","2023-12-06 10:05:33.285"
"LENS","macedo","https://cloudflare-ipfs.com/ipfs/QmfYKcLUbxwU1JxcWWoAm6kCopDGViXpWmJjXnRbpkuqEp",3,NULL,6,"2023-11-14 10:43:12.461","2023-12-06 10:05:33.679"
"FARCASTER","macedo","https://i.seadn.io/gae/7ZhhLFokupYtg8lV5kdK4XA7i5lhmlGGXOawJYmhuU-mzVjPaT9vsI68egJyQrfY_z1noAgRvoK2EML4Wk7wbDdVF72RFeR2g-FJQA?w=500&auto=format",3,NULL,7,"2023-11-14 10:43:12.503","2023-12-06 10:05:33.722"
"ENS","rudnevsky.eth",NULL,5,NULL,8,"2023-11-14 11:21:40.784","2023-11-29 05:48:52.165"
"TALENT_PROTOCOL","rudnevskyy","https://talentprotocol-mvp.s3.eu-west-2.amazonaws.com/74286b7e8dd94410fabbf0e248e191f4.jpeg",5,NULL,9,"2023-11-14 11:21:41.168","2023-11-29 05:48:52.582"
"LENS","rudnevsky","https://cloudflare-ipfs.com/ipfs/bafkreig2iwbzscvtz5hmbt27ccm52b47okrzijqd4tdlacrti3allnxole",5,NULL,10,"2023-11-14 11:21:41.545","2023-11-29 05:48:52.929"
"ENS","limone.eth","https://ipfs.io/ipfs/QmTkm1N8Rx82UE1qsG2CUVAi65og1cpzCGG3EFSpCxUDcR",4,NULL,11,"2023-11-14 11:22:26.976","2023-11-27 08:15:39.013"
"TALENT_PROTOCOL","limone","https://talentprotocol-mvp.s3.eu-west-2.amazonaws.com/921075eb5ebbd30181c95a0c97362764.png",4,NULL,12,"2023-11-14 11:22:28.321","2023-11-27 08:15:41.042"
"LENS","limon3","https://cloudflare-ipfs.com/ipfs/QmWyTqK26K6g1SkXJrkuuyBmq3a7EWcW2eK8M1hERhJqZ4",4,NULL,13,"2023-11-14 11:22:28.71","2023-11-27 08:15:41.413"
"FARCASTER","limone.eth","https://lh3.googleusercontent.com/JZ71snUrZuXVfdlHyvph9QD6c-TOipKs0Id2XIDAXmOlRzUuaCeN-2YPeXcQvqMWRyQ_nWjislaXrpTJAEeswfzB8xK6ffyZCHKS9Q",4,NULL,14,"2023-11-14 11:22:28.754","2023-11-27 08:15:41.449"
"ENS","pcbo.eth","https://ipfs.io/ipfs/Qmbov6bBPNVd78EZNjUXBhc6WT32c2EamCmA62ZBRViedL",6,NULL,15,"2023-11-14 11:28:19.946","2023-11-30 17:53:14.601"
"TALENT_PROTOCOL","pcbo","https://talentprotocol-mvp.s3.eu-west-2.amazonaws.com/b2bf6a8bcaa7bc09ad66cd86b2b10bf1.png",6,NULL,16,"2023-11-14 11:28:20.326","2023-11-30 17:53:14.787"
"LENS","pcboliveira","https://cloudflare-ipfs.com/ipfs/bafkreifwqayykyshit3uq67vnvg3orfnd57oaeeol7sj6jlx3nzo76evxi",6,NULL,17,"2023-11-14 11:28:20.695","2023-11-30 17:53:15.132"
